year,as_of,rank,ticker,name,sector,avg_dollar_volume_usd_mn
2011,2011-01-01,99,CTSH,Cognizant Technology Solutions,Information Technology,157.1
2011,2011-01-01,100,WYNN,Wynn Resorts Ltd,Consumer Discretionary,156.8
2012,2012-01-01,1,AAPL,Apple Inc.,Information Technology,5377.9
2012,2012-01-01,2,GOOG,Google Inc.,Information Technology,1728.5
2012,2012-01-01,3,BAC,Bank of America Corp,Financials,1493.4
2012,2012-01-01,4,C,Citigroup Inc.,Financials,1320.0
2012,2012-01-01,5,MSFT,Microsoft Corp.,Information Technology,1214.0
2012,2012-01-01,6,AMZN,Amazon.com Inc,Consumer Discretionary,1145.4
2012,2012-01-01,7,NFLX,NetFlix Inc.,Information Technology,1104.0
2012,2012-01-01,8,JPM,JPMorgan Chase & Co.,Financials,982.6
2012,2012-01-01,9,XOM,Exxon Mobil Corp.,Energy,966.3
2012,2012-01-01,10,INTC,Intel Corp.,Information Technology,920.4
2012,2012-01-01,11,GE,General Electric,Industrials,858.1
2012,2012-01-01,12,ORCL,Oracle Corp.,Information Technology,782.0
2012,2012-01-01,13,CSCO,Cisco Systems,Information Technology,758.3
2012,2012-01-01,14,FCX,Freeport-McMoran Cp & Gld,Materials,705.6
2012,2012-01-01,15,WFC,Wells Fargo,Financials,688.1
2012,2012-01-01,16,GS,Goldman Sachs Group,Financials,636.4
2012,2012-01-01,17,CAT,Caterpillar Inc.,Industrials,569.9
2012,2012-01-01,18,IBM,International Bus. Machines,Information Technology,568.4
2012,2012-01-01,19,QCOM,QUALCOMM Inc.,Information Technology,568.2
2012,2012-01-01,20,SLB,Schlumberger Ltd.,Energy,525.4
2012,2012-01-01,21,JNJ,Johnson & Johnson,Health Care,512.5
2012,2012-01-01,22,PFE,Pfizer Inc.,Health Care,500.1
2012,2012-01-01,23,CVX,Chevron Corp.,Energy,494.3
2012,2012-01-01,24,HAL,Halliburton Co.,Energy,490.6
2012,2012-01-01,25,WMT,Wal-Mart Stores,Consumer Staples,483.7
2012,2012-01-01,26,F,Ford Motor,Consumer Discretionary,471.6
2012,2012-01-01,27,HPQ,Hewlett-Packard,Information Technology,456.2
2012,2012-01-01,28,PG,Procter & Gamble,Consumer Staples,430.2
2012,2012-01-01,29,BRK-B,Berkshire Hathaway,Financials,424.9
2012,2012-01-01,30,V,Visa Inc.,Information Technology,414.9
2012,2012-01-01,31,COP,ConocoPhillips,Energy,407.8
2012,2012-01-01,32,KO,Coca Cola Co.,Consumer Staples,380.5
2012,2012-01-01,33,DIS,Walt Disney Co.,Consumer Discretionary,375.8
2012,2012-01-01,34,MCD,McDonald's Corp.,Consumer Discretionary,373.0
2012,2012-01-01,35,NVDA,Nvidia Corporation,Information Technology,368.7
2012,2012-01-01,36,CRM,Salesforce.com,Information Technology,363.0
2012,2012-01-01,37,AA,Alcoa Inc,Materials,352.1
2012,2012-01-01,38,MRK,Merck & Co.,Health Care,347.2
2012,2012-01-01,39,MOS,The Mosaic Company,Materials,344.9
2012,2012-01-01,40,EBAY,eBay Inc.,Information Technology,335.8
2012,2012-01-01,41,PEP,PepsiCo Inc.,Consumer Staples,320.6
2012,2012-01-01,42,MA,Mastercard Inc.,Information Technology,320.1
2012,2012-01-01,43,ABT,Abbott Laboratories,Health Care,315.2
2012,2012-01-01,44,BA,Boeing Company,Industrials,311.7
2012,2012-01-01,45,MS,Morgan Stanley,Financials,310.5
2012,2012-01-01,46,MU,Micron Technology,Information Technology,306.6
2012,2012-01-01,47,OXY,Occidental Petroleum,Energy,304.3
2012,2012-01-01,48,AXP,American Express Co,Financials,302.1
2012,2012-01-01,49,NEM,Newmont Mining Corp. (Hldg. Co.),Materials,301.3
2012,2012-01-01,50,FFIV,F5 Networks,Information Technology,300.2
2012,2012-01-01,51,DE,Deere & Co.,Industrials,299.7
2012,2012-01-01,52,CMCSA,Comcast Corp.,Consumer Discretionary,296.7
2012,2012-01-01,53,T,AT&T Inc,Telecommunications Services,292.9
2012,2012-01-01,54,HD,Home Depot,Consumer Discretionary,290.4
2012,2012-01-01,55,VZ,Verizon Communications,Telecommunications Services,280.3
2012,2012-01-01,56,UNH,United Health Group Inc.,Health Care,271.3
2012,2012-01-01,57,CLF,Cliffs Natural Resources,Materials,267.5
2012,2012-01-01,58,NOV,National Oilwell Varco Inc.,Energy,267.2
2012,2012-01-01,59,LOW,Lowe's Cos.,Consumer Discretionary,266.7
2012,2012-01-01,60,CMG,Chipotle Mexican Grill,Consumer Discretionary,265.7
2012,2012-01-01,61,APA,Apache Corporation,Energy,263.6
2012,2012-01-01,62,AMGN,Amgen Inc,Health Care,259.4
2012,2012-01-01,63,CF,CF Industries Holdings Inc,Materials,244.7
2012,2012-01-01,64,CVS,CVS Caremark Corp.,Consumer Staples,243.4
2012,2012-01-01,65,PM,Philip Morris International,Consumer Staples,240.3
2012,2012-01-01,66,MET,MetLife Inc.,Financials,240.1
2012,2012-01-01,67,TGT,Target Corp.,Consumer Discretionary,238.8
2012,2012-01-01,68,WYNN,Wynn Resorts Ltd,Consumer Discretionary,237.4
2012,2012-01-01,69,TXN,Texas Instruments,Information Technology,234.7
2012,2012-01-01,70,FSLR,First Solar Inc,Industrials,232.1
2012,2012-01-01,71,GILD,Gilead Sciences,Health Care,228.5
2012,2012-01-01,72,NTAP,NetApp,Information Technology,227.8
2012,2012-01-01,73,MMM,3M Co.,Industrials,226.8
2012,2012-01-01,74,LLY,Lilly (Eli) & Co.,Health Care,216.1
2012,2012-01-01,75,USB,U.S. Bancorp,Financials,215.4
2012,2012-01-01,76,BMY,Bristol-Myers Squibb,Health Care,214.8
2012,2012-01-01,77,NKE,NIKE Inc.,Consumer Discretionary,214.7
2012,2012-01-01,78,CMI,Cummins Inc.,Industrials,213.8
2012,2012-01-01,79,UNP,Union Pacific,Industrials,213.2
2012,2012-01-01,80,SBUX,Starbucks Corp.,Consumer Discretionary,211.2
2012,2012-01-01,81,ACN,Accenture,Information Technology,210.3
2012,2012-01-01,82,DD,Du Pont (E.I.),Materials,209.5
2012,2012-01-01,83,GLW,Corning Inc.,Industrials,204.3
2012,2012-01-01,84,FDX,FedEx Corporation,Industrials,201.1
2012,2012-01-01,85,COF,Capital One Financial,Financials,195.4
2012,2012-01-01,86,UPS,United Parcel Service,Industrials,194.1
2012,2012-01-01,87,BIIB,BIOGEN IDEC Inc.,Health Care,193.4
2012,2012-01-01,88,AIG,American Intl Group Inc,Financials,187.7
2012,2012-01-01,89,ADBE,Adobe Systems Inc,Information Technology,186.7
2012,2012-01-01,90,EMR,Emerson Electric,Industrials,185.5
2012,2012-01-01,91,HON,Honeywell Int'l Inc.,Industrials,185.4
2012,2012-01-01,92,AMAT,Applied Materials Inc,Information Technology,185.0
2012,2012-01-01,93,CSX,CSX Corp.,Industrials,184.9
2012,2012-01-01,94,EOG,EOG Resources,Energy,178.9
2012,2012-01-01,95,CTSH,Cognizant Technology Solutions,Information Technology,176.4
2012,2012-01-01,96,AKAM,Akamai Technologies Inc,Information Technology,172.5
2012,2012-01-01,97,TRV,The Travelers Companies Inc.,Financials,166.2
2012,2012-01-01,98,MDT,Medtronic Inc.,Health Care,165.1
2012,2012-01-01,99,CNX,CONSOL Energy Inc.,Energy,164.5
2012,2012-01-01,100,PNC,PNC Financial Services,Financials,164.4
2013,2013-01-01,1,AAPL,Apple Inc.,Information Technology,9085.6
2013,2013-01-01,2,GOOG,Google Inc.,Information Technology,1658.8
2013,2013-01-01,3,BAC,Bank of America Corp,Financials,1274.6
2013,2013-01-01,4,MSFT,Microsoft Corp.,Information Technology,1116.4
2013,2013-01-01,5,C,Citigroup Inc.,Financials,960.3
2013,2013-01-01,6,AMZN,Amazon.com Inc,Consumer Discretionary,903.1
2013,2013-01-01,7,JPM,JPMorgan Chase & Co.,Financials,869.8
2013,2013-01-01,8,XOM,Exxon Mobil Corp.,Energy,736.0
2013,2013-01-01,9,INTC,Intel Corp.,Information Technology,730.0
2013,2013-01-01,10,GE,General Electric,Industrials,720.6
2013,2013-01-01,11,ORCL,Oracle Corp.,Information Technology,643.6
2013,2013-01-01,12,WFC,Wells Fargo,Financials,590.7
2013,2013-01-01,13,JNJ,Johnson & Johnson,Health Care,533.5
2013,2013-01-01,14,QCOM,QUALCOMM Inc.,Information Technology,511.6
2013,2013-01-01,15,FCX,Freeport-McMoran Cp & Gld,Materials,508.4
2013,2013-01-01,16,CSCO,Cisco Systems,Information Technology,504.7
2013,2013-01-01,17,NFLX,NetFlix Inc.,Information Technology,500.3
2013,2013-01-01,18,PG,Procter & Gamble,Consumer Staples,472.8
2013,2013-01-01,19,IBM,International Bus. Machines,Information Technology,471.0
2013,2013-01-01,20,WMT,Wal-Mart Stores,Consumer Staples,463.8
2013,2013-01-01,21,CAT,Caterpillar Inc.,Industrials,460.9
2013,2013-01-01,22,AIG,American Intl Group Inc,Financials,436.3
